Question ID,Question Order,Section,Question,Question Ontology - class and subclass,Question Ontology - individual,Answer ID,Answer Type (single choice multiple choice choice) select column,Answer,Answer Ontology individual,data type,time unit,range,choice,choice ontology,Parent Question,Parent Answer,required,PHI ,Picture
1,1,Demographics,How old are you?,age,,1,,My age is:,Integer,range,,1 150,,,,,,,
2,2,Demographics,What is your current marital or cohabiting status? ,Marital Status,,1,single choice,Married ,Married_to_a_person ,,,,,,,,,,
2,2,Demographics,What is your current marital or cohabiting status? ,Marital Status,,2,single choice,Not married but living together with a partner ,Not_married_but_living_together_with_a_partner ,,,,,,,,,,
2,2,Demographics,What is your current marital or cohabiting status? ,Marital Status,,3,single choice,Widowed,Widowed,,,,,,,,,,
2,2,Demographics,What is your current marital or cohabiting status? ,Marital Status,,4,single choice,Divorced or annulled,Divorced_or_annulled,,,,,,,,,,
2,2,Demographics,What is your current marital or cohabiting status? ,Marital Status,,5,single choice,Separated,Separated_because_you_and_your_spouse_are_not_getting_along,,,,,,,,,,
2,2,Demographics,What is your current marital or cohabiting status? ,Marital Status,,6,single choice,Single,Never_been_married ,,,,,,,,,,
3,3,Demographics,Where do you live?,place,,1,,Country,country,choice,,,United States of America**Afghanistan**Albania**Algeria**Andorra**Angola**Antigua & Deps**Argentina**Armenia**Australia**Austria**Azerbaijan**Bahamas**Bahrain**Bangladesh**Barbados**Belarus**Belgium**Belize**Benin**Bhutan**Bolivia**Bosnia Herzegovina**Botswana**Brazil**Brunei**Bulgaria**Burkina**Burma**Burundi**Cambodia**Cameroon**Canada**Cape Verde**Central African Rep**Chad**Chile**People s Republic of China**Republic of China**Colombia**Comoros**Democratic Republic of the Congo**Republic of the Congo**Costa Rica**Croatia**Cuba**Cyprus**Czech Republic**Danzig**Denmark**Djibouti**Dominica**Dominican Republic**East Timor**Ecuador**Egypt**El Salvador**Equatorial Guinea**Eritrea**Estonia**Ethiopia**Fiji**Finland**France**Gabon**Gaza Strip**The Gambia**Georgia**Germany**Ghana**Greece**Grenada**Guatemala**Guinea**Guinea-Bissau**Guyana**Haiti**Holy Roman Empire**Honduras**Hungary**Iceland**India**Indonesia**Iran**Iraq**Republic of Ireland**Israel**Italy**Ivory Coast**Jamaica**Japan**Jonathanland**Jordan**Kazakhstan**Kenya**Kiribati**North Korea**South Korea**Kosovo**Kuwait**Kyrgyzstan**Laos**Latvia**Lebanon**Lesotho**Liberia**Libya**Liechtenstein**Lithuania**Luxembourg**Macedonia**Madagascar**Malawi**Malaysia**Maldives**Mali**Malta**Marshall Islands**Mauritania**Mauritius**Mexico**Micronesia**Moldova**Monaco**Mongolia**Montenegro**Morocco**Mount Athos**Mozambique**Namibia**Nauru**Nepal**Newfoundland**Netherlands**New Zealand**Nicaragua**Niger**Nigeria**Norway**Oman**Ottoman Empire**Pakistan**Palau**Panama**Papua New Guinea**Paraguay**Peru**Philippines**Poland**Portugal**Prussia**Qatar**Romania**Rome**Russian Federation**Rwanda**St Kitts & Nevis**St Lucia**Saint Vincent & the Grenadines**Samoa**San Marino**Sao Tome & Principe**Saudi Arabia**Senegal**Serbia**Seychelles**Sierra Leone**Singapore**Slovakia**Slovenia**Solomon Islands**Somalia**South Africa**Spain**Sri Lanka**Sudan**Suriname**Swaziland**Sweden**Switzerland**Syria**Tajikistan**Tanzania**Thailand**Togo**Tonga**Trinidad & Tobago**Tunisia**Turkey**Turkmenistan**Tuvalu**Uganda**Ukraine**United Arab Emirates**United Kingdom**Uruguay**Uzbekistan**Vanuatu**Vatican City**Venezuela**Vietnam**Yemen**Zambia**Zimbabwe,,,,,,
3,3,Demographics,Where do you live?,place,,2,,My zipcode is,zipcode,integer,,,,,,,,,
4,4,Demographics,What gender do you best identify as?,gender,,1,single choice,Male,male,,,,,,,,,,
4,4,Demographics,What gender do you best identify as?,gender,,2,single choice,Female,female,,,,,,,,,,
4,4,Demographics,What gender do you best identify as?,gender,,3,single choice,Transgender Female,female_but_best_identify_as_male,,,,,,,,,,
4,4,Demographics,What gender do you best identify as?,gender,,4,single choice,Transgender male,male_but_best_identify_as_female,,,,,,,,,,
4,4,Demographics,What gender do you best identify as?,gender,,5,single choice,Other,other,,,,,,,,,,
4,4,Demographics,What gender do you best identify as?,gender,,6,single choice,Prefer not to answer,refused,,,,,,,,,,
5,5,Demographics,Do you have American Indian or Alaska Native ancestrors?,race_name,AMERICAN_INDIAN_OR_ALASKA_NATIVE,1,single choice,Yes,,,,,,,,,,,
