Question ID,Question Order,Section,Question,Question Ontology - class and subclass,Question Ontology - individual,Answer ID,Answer Type (single choice multiple choice choice) select column,Answer,Answer Ontology individual,data type,range,choice,choice ontology,Parent Question,Parent Answer,required,PHI ,Picture
1,1,Demographics,What is your birthdate? ,Birthdate,,1,single choice,My Birthday is :,DateTime,datetime,,,,,,,,
1,1,Demographics,What is your birthdate? ,Birthdate,,2,single choice,Do not know ,do_not_know,,,,,,,,,
1,1,Demographics,What is your birthdate? ,Birthdate,,3,single choice,Refused,refused,,,,,,,,,
2,2,Demographics,How old are you?,age,,1,single choice,My age is:,Integer,range,1-150,,,,,,,
2,2,Demographics,How old are you?,age,,2,single choice,Do not know ,do_not_know,,,,,,,,,
2,2,Demographics,How old are you?,age,,3,single choice,Refused,refused,,,,,,,,,
3,3,Demographics,What is your current marital or cohabiting status? ,Marital Status,,1,single choice,Married to a person ,Married_to_a_person ,,,,,,,,,
3,3,Demographics,What is your current marital or cohabiting status? ,Marital Status,,2,single choice,Not married but living together with a partner ,Not_married_but_living_together_with_a_partner ,,,,,,,,,
3,3,Demographics,What is your current marital or cohabiting status? ,Marital Status,,3,single choice,Widowed,Widowed,,,,,,,,,
3,3,Demographics,What is your current marital or cohabiting status? ,Marital Status,,4,single choice,Divorced or annulled,Divorced_or_annulled,,,,,,,,,
3,3,Demographics,What is your current marital or cohabiting status? ,Marital Status,,5,single choice,Separated because you and your spouse are not getting along,Separated_because_you_and_your_spouse_are_not_getting_along,,,,,,,,,
3,3,Demographics,What is your current marital or cohabiting status? ,Marital Status,,6,single choice,Never been married ,Never_been_married ,,,,,,,,,
4,4,Demographics,Where do you live?,place,,1,,Country,country,choice,,US**Taiwan**Saudi Arabia,,,,,,
4,4,Demographics,Where do you live?,place,,3,,State,State,choice,,NY**CA**IL,,,,,,
4,4,Demographics,Where do you live?,place,,2,,City,City,text,,,,,,,,
4,4,Demographics,Where do you live?,place,,4,,My zipcode is,zipcode,integer,,,,,,,,
5,5,Demographics,What gender do you best identify as?,gender,,1,single choice,Male,male,,,,,,,,,
5,5,Demographics,What gender do you best identify as?,gender,,2,single choice,Female,female,,,,,,,,,
5,5,Demographics,What gender do you best identify as?,gender,,3,single choice,Transgender Female,female_but_best_identify_as_male,,,,,,,,,
5,5,Demographics,What gender do you best identify as?,gender,,4,single choice,Transgender male,male_but_best_identify_as_female,,,,,,,,,
5,5,Demographics,What gender do you best identify as?,gender,,5,single choice,Other,other,,,,,,,,,
5,5,Demographics,What gender do you best identify as?,gender,,6,single choice,Refused,refused,,,,,,,,,
6,6,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,1,single choice,Yes,hispanic,,,,,,,,,
6,6,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,2,single choice,No ,non-hispanic,,,,,,,,,
6,6,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,3,single choice,Do not know ,do_not_know,,,,,,,,,
6,6,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,4,single choice,Refused,refused,,,,,,,,,
